0,http://www.architectmagazine.com/technology/putting-place-before-products-in-office-design_o,Technology,Mind & Matter,Putting Place Before Products in Office Design,"An undulating plywood canopy upends the typical corporate workspace for one Boston financial firm, evidencing a returned focus to the architecture of office interiors.",Blaine Brownell,2015-11-11 10:34:08,"[u'Technology', u'Office Technology', u'Office Projects', u'Interiors', u'Interior Design', u'Furniture']",[],"[u'Radlab Inc.', u'dECOi Architects', u'Mamiya Shinichi Design Studio', u'Leeser Architecture']",[],[],[]
1,http://www.architectmagazine.com/practice/the-unexpected-profitability-in-work-abroad_o,Practice,Best Practices,The Unexpected Profitability in Work Abroad,"For new revenue streams, consider exporting your services to other countries.",Nate Berg,2015-11-11 08:07:00,"[u'Best Practices', u'Business', u'Architects']",[],"[u'\xc1lvarez-D\xedaz & Villal\xf3n', u'J\xfcnk Architects']","[u'Robert Junk', u'Cristina Villal\xf3n', u'Ricardo \xc1lvarez-D\xedaz']",[],[]
2,http://www.architectmagazine.com/Design/news-roundup_o,Design,Architecture,News Roundup,Architecture news and views from around the nation and beyond. Updated in real-time. Check back often.,ARCHITECT Staff,2015-11-11 07:53:00,"[u'Architecture', u'Architects']",[],[],[],[],[]
3,http://www.architectmagazine.com/Design/the-big-ideas-behind-the-chicago-biennial_o,Design,Design,The Big Ideas Behind the Chicago Biennial ,Cathy Lang Ho on how the show isn't about big names and projects but rather an expansive vision of architecture.,Cathy Lang Ho,2015-11-10 17:37:40,"[u'Exhibitions', u'Design', u'Arts and Culture', u'Architects', u'Chicago Architecture Biennial']",[],[],[u'Joseph Grima'],[u'Chicago Architecture Biennial'],"[u'Chicago-Naperville-Joliet, IL-IN-WI']"
4,http://www.architectmagazine.com/technology/american-concrete-institute-names-top-concrete-projects-of-2015_o,Technology,Concrete,American Concrete Institute Names Top Concrete Projects of 2015,These five buildings and bridges show off the ubiquitous material in decorative and structural applications.,Hallie Busta,2015-11-10 15:28:17,"[u'Projects', u'Concrete']",[],[],[],[],[]
5,http://www.architectmagazine.com/design/culture/protecting-syrias-history-in-the-face-of-conflict_o,Culture,CULTURE,Protecting Syria's History in the Face of Conflict,"Syria’s director-general of antiquities and museums, Maamoun Abdulkarim, will speak about the country's threatened cultural heritage at London’s Royal Geographical Society on Thursday.",Chelsea Blahut,2015-11-10 15:27:36,"[u'Historic Preservation', u'Preservation', u'Cultural Projects']",[],[u'World Monuments Fund'],"[u'Maamoun Abdulkarim', u'James Davis', u'Lisa Ackerman']",[],"[u'London, United Kingdom']"
6,http://www.architectmagazine.com/technology/products/nine-green-product-databases-for-architects-specifiers-and-consumers_o,Products ,Products,"Nine Green-Product Databases for Architects, Specifiers, and Consumers",Use these guides to find up-to-date information on the sustainability of building products and materials.,Alice Liao,2015-11-10 09:15:39,"[u'Green Products', u'Green Materials', u'Green Building', u'Green Standards', u'Products', u'Environmental Product Declarations', u'Building Materials', u'Green']",[],"[u'U.S. Green Building Council', u'Cradle To Cradle', u'Greenguard', u'Healthy Building Network', u'Flux', u'Pharos Project', u' International Living Future Institute', u'NIST', u'Energy Star', u'The Home Depot', u'Green Seal']","[u'James Connelly', u'Ron Jarvis', u'Joshua Kneifel']",[],[]
7,http://www.architectmagazine.com/Design/aia-announces-peoples-choice-award-in-look-up-film-challenge_o,Design,Competitions,AIA Announces People’s Choice Award in Look Up Film Challenge,A three-minute video about how Hawaii’s cultural heritage has influenced its architecture received the most public votes.,Caroline Massie,2015-11-09 14:36:46,"[u'Competitions', u'Award Winners', u'Awards', u'Design', u'Designers', u'Architects', u'Architecture']",[],"[u'AIA', u'American Institute of Architects (AIA)']",[],[],[]
8,http://www.architectmagazine.com/Design/leed-gold-certification-awarded-to-smus-oldest-building_o,Design,Energy Efficiency,LEED Gold Certification Awarded to Southern Methodist University's Oldest Building,Dallas Hall is only the second 100-year-old building in the United States to achieve the certification for for the operation and maintenance of an existing structure.,Angie Cook,2015-11-09 11:50:22,"[u'LEED', u'Sustainability', u'Institutional Projects']",[u'Texas'],"[u'SMU [Southern Methodist University]', u'Beck Group']",[],[],"[u'Dallas-Fort Worth-Arlington, TX']"
9,http://www.architectmagazine.com/design/urbanism-planning/the-understated-elegance-of-seoul_o,Urbanism & Planning,Beyond Buildings,The Understated Elegance of Seoul,"Columnist Aaron Betsky goes deeper into his exploration of Seoul, South Korea. ",Aaron Betsky,2015-11-09 11:37:33,[u'Urban Design'],[],[],[],[],[]
10,http://www.architectmagazine.com/aia-architect/aiaperspective/prosperous-conditions_o,AIAPerspective,AIA Perspective,Prosperous Conditions,Business is an art and a science.,Elizabeth Chu Richter for AIA Architect,2015-11-06 12:51:00,"[u'Business', u'Compensation']",[],[],[],[],[]
11,http://www.architectmagazine.com/practice/market-intel/architecture-loses-700-jobs-in-september_o,Market Intel,Employment,Architecture Loses 700 Jobs in September,Landscape architecture and engineering and drafting services didn't fare much better.,Sara Johnson,2015-11-06 11:26:40,"[u'Business', u'Employment']",[],[u'U.S. Bureau of Labor Statistics'],[],[],[]
12,http://www.architectmagazine.com/Design/civitas-and-stantec-win-ontarios-thames-river-redevelopment-competition_o,Design,Competitions,Civitas and Stantec Win Ontario’s Thames River Redevelopment Competition,The city council must decide whether to finance the team's winning proposal.,Caroline Massie,2015-11-06 10:57:49,"[u'Competitions', u'Design', u'Urban Design', u'Architecture']",[],"[u'Civitas', u'Stantec Consulting', u'Stantec']",[],[],[]
13,http://www.architectmagazine.com/Design/aia-chicago-announces-their-design-excellence-awards_o,Design,Awards,AIA Chicago Announces 2015 Design Excellence Awards,"In its 60th year running, the Chicago-area chapter honored 36 awards in four different categories.",Chelsea Blahut,2015-11-06 10:45:46,"[u'Awards', u'Award Winners', u'Competitions', u'Architecture']",[],[u'AIA Chicago'],[],[],"[u'Chicago-Joliet-Naperville, IL-IN-WI']"
14,http://www.architectmagazine.com/technology/this-week-in-tech-apples-new-survey-app-maps-interior-plans_o,Technology,Technology,This Week in Tech: Apple’s New Survey App Maps Interior Plans,"Digital floorplans for public venues. Plus, fire ants as master builders, structural applications for granular materials, and more of this week’s technology news from around the Internet.  ",ARCHITECT Staff,2015-11-06 10:12:59,"[u'Technology', u'Building Technology', u'Construction Technology', u'Jobsite Technology', u'Research', u'Alternative Materials', u'Building Materials']",[],[],[u'Jean Nouvel'],[],[]
15,http://www.architectmagazine.com/practice/market-intel/us-adds-271-000-jobs-in-october_o,Market Intel,Employment,"U.S. Adds 271,000 Jobs in October","Construction adds 31,000 jobs, architecture and engineering services adds 8,300 jobs, and job growth in manufacturing flatlines.",Sara Johnson,2015-11-06 09:37:26,"[u'Business', u'Employment']",[],[u'U.S. Bureau of Labor Statistics'],[],[],[]
16,http://www.architectmagazine.com/design/editorial/the-little-biennial-that-could_o,Editorial,Editorial,The Little Biennial that Could,"To be a complete success, the Chicago Architecture Biennial should reach audiences beyond the cultural cognoscenti.",Ned Cramer,2015-11-06 09:03:00,"[u'Design', u'Chicago Architecture Biennial']",[],"[u'Studio [D] Tale', u'Junya Ishigami + Associates']","[u'Sarah Herda', u'Joseph Grima', u'Stanley Tigerman', u'Andreas Angelidakis', u'Tatiana Bilbao', u'Fran\xe7ois Roche']",[u'Chicago Architecture Biennial'],"[u'Chicago-Joliet-Naperville, IL-IN-WI']"
17,http://www.architectmagazine.com/culture/its-a-bird-its-a-plane-its-architecture_o,Culture,Funny Ha Ha,It’s a Bird … It’s a Plane … It’s Architecture,An exhibition at Norway's National Museum explores the tightly woven relationship between architecture and comics.,ARCHITECT Staff,2015-11-05 17:05:00,[u'Design'],[],"[u'National Museum\u2013Architecture, Oslo']","[u'Bjarke Ingels', u'Jean Nouvel, Hon. FAIA', u'Le Corbusier', u'Chris Ware', u'Ben Katchor']",[],[]
18,http://www.architectmagazine.com/design/exhibits-books-etc/the-loneliest-architecture_o,Exhibits Books Etc.,Photography,The Loneliest Architecture,Sociologist David Schalliol uncovers hidden meanings in his deceptively simple images of humble buildings.,ARCHITECT Staff,2015-11-05 14:35:38,[u'Photographers'],[],[u'Pinkcomma'],[],[],"[u'Boston-Cambridge-Quincy, MA-NH']"
19,http://www.architectmagazine.com/technology/bentley-systems-announces-its-2015-be-inspired-award-winners_o,Technology,Awards,Bentley Systems Announces Its 2015 Be Inspired Award Winners,"The AEC software developer's annual competition recognizes architecture, engineering, and infrastructure projects in 18 categories.",Wanda Lau ,2015-11-05 13:43:20,"[u'Competitions', u'Award Winners', u'Design', u'Building Technology', u'Construction Software']",[],"[u'Bentley Systems', u'Morphosis Architects', u'Robin Partington & Partners', u'Stanley D. Lindsey and Associates']","[u'Cory Brugger', u'Huw Roberts', u'Greg Bentley']",[],"[u'London, United Kingdom']"
20,http://www.architectmagazine.com/aia-architect/aiaknowledge/slow-train_o,AIAKnowledge,AIA Knowledge,Slow Train,Home design trends as a barometer for change.,Dominic Mercier for AIA Architect,2015-11-05 08:52:00,"[u'Design', u'Lighting', u'Economic Conditions', u'Remodeling Trends', u'Housing Trends']",[],[],[],[],[]
21,http://www.architectmagazine.com/technology/products/throwback-thursday-a-walk-through-the-history-of-wood_o,Products ,Products,Throwback Thursday: A Walk Through the History of Wood,These 20th-century trade journals highlight the emergence and growth of an industry around the traditional building material.,Mike Jackson,2015-11-05 07:45:28,"[u'Products', u'Wood', u'Engineered Wood', u'Panels', u'History']",[],[],[],[],[]
